title,artist
Girlfriend,Bow Wow & Omarion
Walk It Out,Unk & Outkast
Cyclone,BABY BASH/T-PAIN
BED,J. HOLIDAY
Temperature,Sean Paul
HATERZ,B.O.B./WES FIF
Shawty,PLIES/T-PAIN
HATE THAT I LOVE YOU,RIHANNA/NE-YO
Money Maker,Ludacris & Pharrell Williams
NO ONE,Alicia Keys
A Bay Bay,HURRICANE CHRIS
Ghetto Superstar,Pras & Mya
KISS KISS,CHRIS BROWN/T-PAIN
WHAT IS IT?,BABY BASH/SEAN KINGSTON
DUFFLE BAG BOY,PLAYAZ CIRCLE/LIL WAYNE
Shortie Like Mine,Bow Wow & Chris Brown
Low,FLO RIDA/T-PAIN
Confessions Pt. 2,Usher
CRANK THAT SOULJA BOY,Soulja Boy
I'M SO HOOD,DJ KHALED/PLIES
APOLOGIZE,TIMBALAND/ONE REPUBLIC
Kryptonite,Purple Ribbon Allstars & Outkast
Bartender,T-PAIN/AKON
Stronger,Kanye West
Sexyback,JUSTIN TIMBERLAKE W/CLIPSE
